Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_ceil,Projection_dfn,Projection_rceil,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
26.5,Julio,1.0,Atl@Phi 01:00PM ET,7725748,Jones,Julio Jones,Julio Jones (7725748),PHI,WR,22.23,37.1,19.4,19.4,19.2810514215,19.2716213247,1.0,0.25625,9500,ATL,2.0,0.0
10.6,Mike,1.0,Chi@TB 01:00PM ET,7725775,Evans,Mike Evans,Mike Evans (7725775),CHI,WR,22.68,33.7,19.9,19.9,19.7306577658,19.7185441431,1.0,0.330188679245,9000,TB,2.0,0.0
37.4,Antonio,1.0,Dal@Pit 04:25PM ET,7725827,Brown,Antonio Brown,Antonio Brown (7725827),DAL,WR,22.21,30.5,24.2,24.2,21.9264858177,21.8051392242,1.0,0.275541795666,8900,PIT,1.0,0.0
27.1,David,1.0,SF@Ari 04:25PM ET,7725686,Johnson,David Johnson,David Johnson (7725686),SF,RB,26.65,33.8,27.1,27.1,25.2387047598,25.1381215977,2.0,0.164670658683,8400,ARI,1.0,0.0
43.9,Ezekiel,1.0,Dal@Pit 04:25PM ET,7725697,Elliott,Ezekiel Elliott,Ezekiel Elliott (7725697),PIT,RB,21.84,28.6,19.6,19.6,19.2414588648,19.2196401158,6.0,0.0778210116732,7900,DAL,1.0,0.0
34.4,Le'Veon,1.0,Dal@Pit 04:25PM ET,7725693,Bell,Le'Veon Bell,Le'Veon Bell (7725693),DAL,RB,22.87,26.8,22.1,22.1,21.0198224891,20.960367523,2.0,0.145510835913,7700,PIT,1.0,0.0
32.5,Aaron,1.0,GB@Ten 01:00PM ET,7725585,Rodgers,Aaron Rodgers,Aaron Rodgers (7725585),TEN,QB,22.56,30.1,20.2,20.2,19.8502817709,19.8288160251,0.0,0.0,7600,GB,1.0,0.0
28.3,Larry,1.0,SF@Ari 04:25PM ET,7725813,Fitzgerald,Larry Fitzgerald,Larry Fitzgerald (7725813),SF,WR,18.53,24.4,15.8,15.8,15.8667977719,15.8675574628,1.0,0.254491017964,7600,ARI,4.0,0.0
33.6,Jordy,1.0,GB@Ten 01:00PM ET,7725789,Nelson,Jordy Nelson,Jordy Nelson (7725789),TEN,WR,17.72,25.2,16.1,16.1,15.7207898205,15.6984999904,1.0,0.229607250755,7500,GB,4.0,0.0
15.3,Tom,1.0,Sea@NE 08:30PM ET,7725603,Brady,Tom Brady,Tom Brady (7725603),SEA,QB,21.79,35.6,18.5,18.5,18.6142003263,18.6169455576,0.0,0.0,7400,NE,3.0,0.0
13.7,Matt,1.0,Atl@Phi 01:00PM ET,7725564,Ryan,Matt Ryan,Matt Ryan (7725564),PHI,QB,20.12,33.9,18.2,18.2,17.8054731299,17.7820366547,0.0,0.0,7300,ATL,3.0,0.0
11.3,Jarvis,1.0,Mia@SD 04:05PM ET,7725807,Landry,Jarvis Landry,Jarvis Landry (7725807),SD,WR,17.4,23.9,16.7,16.7,15.9292399227,15.8866577423,1.0,0.302904564315,7200,MIA,4.0,0.0
9.8,DeAndre,1.0,Hou@Jax 01:00PM ET,7725714,Hopkins,DeAndre Hopkins,DeAndre Hopkins (7725714),JAX,WR,15.05,20.8,18.0,18.0,15.7431084659,15.6236725373,1.0,0.252525252525,7100,HOU,3.0,0.0
18.2,Melvin,1.0,Mia@SD 04:05PM ET,7725675,Gordon,Melvin Gordon,Melvin Gordon (7725675),MIA,RB,20.2,32.6,20.7,20.7,19.2181115968,19.1381801682,5.0,0.115151515152,7100,SD,1.0,0.0
30.7,Allen,1.0,Hou@Jax 01:00PM ET,7725718,Robinson,Allen Robinson,Allen Robinson (7725718),HOU,WR,15.32,20.5,14.7,14.7,14.0230218676,13.9856154264,1.0,0.248538011696,7000,JAX,5.0,0.0
10.8,Devontae,0.0,Den@NO 01:00PM ET,7725625,Booker,Devontae Booker,Devontae Booker (7725625),NO,RB,15.46,13.7,13.3,13.7,13.3030874936,13.3009867468,5.0,0.0737179487179,7000,DEN,2.0,0.0
18.8,Brandin,1.0,Den@NO 01:00PM ET,7725728,Cooks,Brandin Cooks,Brandin Cooks (7725728),DEN,WR,16.21,29.2,14.4,14.4,14.199827727,14.1870589109,2.0,0.182857142857,7000,NO,5.0,0.0
9.0,Jay,1.0,Mia@SD 04:05PM ET,7725674,Ajayi,Jay Ajayi,Jay Ajayi (7725674),SD,RB,18.28,30.8,14.2,14.2,14.8861763517,14.9191463741,5.0,0.0622406639004,7000,MIA,2.0,0.0
26.6,Dez,0.0,Dal@Pit 04:25PM ET,7725826,Bryant,Dez Bryant,Dez Bryant (7725826),PIT,WR,15.32,22.5,15.4,15.4,14.4099372241,14.3562675268,3.0,0.167315175097,7000,DAL,4.0,0.0
26.0,Drew,1.0,Den@NO 01:00PM ET,7725553,Brees,Drew Brees,Drew Brees (7725553),DEN,QB,20.6,34.7,17.3,17.3,17.4927979766,17.4998000269,0.0,0.0,6900,NO,5.0,0.0
5.5,Brandon,1.0,LA@NYJ 01:00PM ET,7725733,Marshall,Brandon Marshall,Brandon Marshall (7725733),LA,WR,14.86,20.6,15.8,15.8,14.4539437426,14.3818491574,1.0,0.277602523659,6900,NYJ,4.0,0.0
31.0,DeMarco,1.0,GB@Ten 01:00PM ET,7725668,Murray,DeMarco Murray,DeMarco Murray (7725668),GB,RB,18.3,27.2,14.7,14.7,15.1702439405,15.1919943774,4.0,0.139072847682,6900,TEN,2.0,0.0
8.6,Rob,0.0,Sea@NE 08:30PM ET,7725932,Gronkowski,Rob Gronkowski,Rob Gronkowski (7725932),SEA,TE,18.38,29.0,14.3,14.3,14.979947359,15.0125791893,5.0,0.111111111111,6900,NE,1.0,0.0
10.4,Emmanuel,1.0,Den@NO 01:00PM ET,7725722,Sanders,Emmanuel Sanders,Emmanuel Sanders (7725722),NO,WR,17.68,23.8,16.2,16.2,15.7606644889,15.7352572844,1.0,0.278846153846,6800,DEN,4.0,0.0
11.1,Devonta,1.0,Atl@Phi 01:00PM ET,7725639,Freeman,Devonta Freeman,Devonta Freeman (7725639),PHI,RB,14.93,24.8,17.6,17.6,15.4758171145,15.3632923189,3.0,0.115625,6800,ATL,1.0,0.0
24.8,Cam,1.0,KC@Car 01:00PM ET,7725571,Newton,Cam Newton,Cam Newton (7725571),KC,QB,20.95,29.7,20.4,20.4,19.3410211172,19.2829481315,0.0,0.0,6800,CAR,1.0,0.0
14.4,Kelvin,1.0,KC@Car 01:00PM ET,7725762,Benjamin,Kelvin Benjamin,Kelvin Benjamin (7725762),KC,WR,14.7,24.2,12.7,12.7,12.6788656335,12.6756178315,2.0,0.215488215488,6800,CAR,6.0,0.0
31.4,Ben,1.0,Dal@Pit 04:25PM ET,7725598,Roethlisberger,Ben Roethlisberger,Ben Roethlisberger (7725598),DAL,QB,20.42,32.9,18.9,18.9,18.3078806414,18.2741363005,0.0,0.0,6800,PIT,2.0,0.0
22.7,Demaryius,1.0,Den@NO 01:00PM ET,7725723,Thomas,Demaryius Thomas,Demaryius Thomas (7725723),NO,WR,18.51,20.3,17.4,17.4,16.7434762526,16.7066657606,2.0,0.275641025641,6700,DEN,3.0,0.0
10.2,Spencer,1.0,KC@Car 01:00PM ET,7725647,Ware,Spencer Ware,Spencer Ware (7725647),CAR,RB,14.95,28.4,12.8,12.8,12.8303827184,12.8297744194,6.0,0.0793103448276,6700,KC,2.0,0.0
24.0,Philip,1.0,Mia@SD 04:05PM ET,7725590,Rivers,Philip Rivers,Philip Rivers (7725590),MIA,QB,18.76,25.5,17.4,17.4,16.8397197151,16.8078720485,0.0,0.0,6700,SD,5.0,0.0
8.7,Alshon,1.0,Chi@TB 01:00PM ET,7725770,Jeffery,Alshon Jeffery,Alshon Jeffery (7725770),TB,WR,14.94,17.0,18.2,18.2,15.8113085872,15.6850423708,1.0,0.219594594595,6600,CHI,3.0,0.0
4.0,Ty,0.0,GB@Ten 01:00PM ET,7725796,Montgomery,Ty Montgomery,Ty Montgomery (7725796),TEN,WR,13.54,17.9,11.8,11.8,11.7348333664,11.7294679555,4.0,0.0906344410876,6500,GB,6.0,0.0
20.6,Carson,1.0,SF@Ari 04:25PM ET,7725592,Palmer,Carson Palmer,Carson Palmer (7725592),SF,QB,20.78,25.3,18.0,18.0,17.9490086261,17.9433206545,0.0,0.0,6500,ARI,4.0,0.0
8.3,Lamar,1.0,Hou@Jax 01:00PM ET,7725609,Miller,Lamar Miller,Lamar Miller (7725609),JAX,RB,15.94,24.7,15.2,15.2,14.5380737664,14.5013585205,5.0,0.0976430976431,6400,HOU,2.0,0.0
7.1,Randall,1.0,GB@Ten 01:00PM ET,7725793,Cobb,Randall Cobb,Randall Cobb (7725793),TEN,WR,15.21,23.6,14.6,14.6,13.9254011218,13.8881343597,3.0,0.181268882175,6400,GB,5.0,0.0
22.5,Jameis,1.0,Chi@TB 01:00PM ET,7725578,Winston,Jameis Winston,Jameis Winston (7725578),CHI,QB,18.94,26.8,18.1,18.1,17.2959303646,17.2513926761,0.0,0.0,6300,TB,3.0,0.0
24.6,Davante,1.0,GB@Ten 01:00PM ET,7725797,Adams,Davante Adams,Davante Adams (7725797),TEN,WR,15.05,27.7,9.8,9.8,11.2106714327,11.2817479329,2.0,0.211480362538,6300,GB,7.0,0.0
0.0,Jacquizz,0.0,Chi@TB 01:00PM ET,7725653,Rodgers,Jacquizz Rodgers,Jacquizz Rodgers (7725653),CHI,RB,0.0,19.7,0.0,0.0,0.0,0.0,7.0,0.0408805031447,6200,TB,0.0,0.0
32.4,Stefon,1.0,Min@Was 01:00PM ET,7725786,Diggs,Stefon Diggs,Stefon Diggs (7725786),WAS,WR,15.48,28.4,13.7,13.7,13.5318814601,13.5208844501,1.0,0.235915492958,6200,MIN,5.0,0.0
6.1,Jordan,1.0,Min@Was 01:00PM ET,7725896,Reed,Jordan Reed,Jordan Reed (7725896),MIN,TE,15.3,24.6,15.2,15.2,14.2916905024,14.2422704236,2.0,0.178247734139,6200,WAS,1.0,0.0
29.5,Russell,1.0,Sea@NE 08:30PM ET,7725604,Wilson,Russell Wilson,Russell Wilson (7725604),NE,QB,18.49,22.5,17.7,17.7,16.9015976427,16.8574201578,13.0,0.00408163265306,6200,SEA,4.0,0.0
6.0,Michael,1.0,Den@NO 01:00PM ET,7725731,Thomas,Michael Thomas,Michael Thomas (7725731),DEN,WR,14.22,23.2,12.0,12.0,12.1071628291,12.1106496585,1.0,0.188571428571,6100,NO,6.0,0.0
12.9,Matt,1.0,LA@NYJ 01:00PM ET,7725626,Forte,Matt Forte,Matt Forte (7725626),LA,RB,16.45,28.7,13.5,13.5,13.7947588498,13.8076642468,4.0,0.0977917981073,6100,NYJ,2.0,0.0
22.8,Dak,1.0,Dal@Pit 04:25PM ET,7725602,Prescott,Dak Prescott,Dak Prescott (7725602),PIT,QB,18.99,25.5,17.7,17.7,17.0940845676,17.0598327334,0.0,0.0,6100,DAL,4.0,0.0
12.0,Jordan,1.0,Chi@TB 01:00PM ET,7725658,Howard,Jordan Howard,Jordan Howard (7725658),TB,RB,14.4,27.6,14.5,14.5,13.558298681,13.5072756871,6.0,0.0878378378378,6000,CHI,2.0,0.0
15.9,Julian,1.0,Sea@NE 08:30PM ET,7725838,Edelman,Julian Edelman,Julian Edelman (7725838),SEA,WR,14.28,15.1,15.1,15.1,13.8437435531,13.7763984692,1.0,0.248148148148,6000,NE,4.0,0.0
13.3,Jordan,1.0,Atl@Phi 01:00PM ET,7725750,Matthews,Jordan Matthews,Jordan Matthews (7725750),ATL,WR,14.56,21.9,16.0,16.0,14.4489988323,14.3663022121,1.0,0.247191011236,5900,PHI,4.0,0.0
8.9,Greg,1.0,KC@Car 01:00PM ET,7725873,Olsen,Greg Olsen,Greg Olsen (7725873),KC,TE,15.62,26.0,12.9,12.9,13.1435888202,13.1539575708,1.0,0.239057239057,5900,CAR,2.0,0.0
3.6,Christine,1.0,Sea@NE 08:30PM ET,7725704,Michael,Christine Michael,Christine Michael (7725704),NE,RB,8.66,22.7,8.7,8.7,8.14267868558,8.11246191527,0.0,0.0,5900,SEA,2.0,0.0
11.6,Doug,0.0,Chi@TB 01:00PM ET,7725652,Martin,Doug Martin,Doug Martin (7725652),CHI,RB,8.66,17.1,13.6,13.6,10.8510861811,10.7070266179,10.0,0.0157232704403,5800,TB,2.0,0.0
23.9,Colin,1.0,SF@Ari 04:25PM ET,7725594,Kaepernick,Colin Kaepernick,Colin Kaepernick (7725594),ARI,QB,16.76,26.4,15.2,15.2,14.8537523233,14.8333151446,0.0,0.0,5800,SF,8.0,0.0
29.9,Doug,1.0,Sea@NE 08:30PM ET,7725839,Baldwin,Doug Baldwin,Doug Baldwin (7725839),NE,WR,16.39,24.0,14.0,14.0,14.0480285306,14.048126238,1.0,0.257142857143,5800,SEA,5.0,0.0
28.6,Marcus,1.0,GB@Ten 01:00PM ET,7725587,Mariota,Marcus Mariota,Marcus Mariota (7725587),GB,QB,19.12,29.0,17.7,17.7,17.1441311681,17.1124600031,0.0,0.0,5700,TEN,4.0,0.0
26.5,Tyrell,1.0,Mia@SD 04:05PM ET,7725811,Williams,Tyrell Williams,Tyrell Williams (7725811),MIA,WR,14.52,21.7,12.1,12.1,12.2779286064,12.2850475039,2.0,0.175757575758,5700,SD,6.0,0.0
16.8,Trevor,1.0,Den@NO 01:00PM ET,7725556,Siemian,Trevor Siemian,Trevor Siemian (7725556),NO,QB,17.95,21.9,17.6,17.6,16.6384381413,16.585864276,0.0,0.0,5600,DEN,4.0,0.0
0.0,Jeremy,1.0,KC@Car 01:00PM ET,7725757,Maclin,Jeremy Maclin,Jeremy Maclin (7725757),CAR,WR,0.0,15.2,0.0,0.0,0.0,0.0,1.0,0.193103448276,5600,KC,0.0,0.0
