player,salary,team,pos,opp,ceil,floor,fpts
"Seattle Seahawks",3900,SEA,DST,MIA,,,10.9
"New York Giants",2700,NYG,DST,DAL,,,7.3
"Dallas Cowboys",2500,DAL,DST,NYG,,,6.65
"Miami Dolphins",2200,MIA,DST,SEA,,,5.27
"New York Jets",3400,NYJ,DST,CIN,,,7.75
"Baltimore Ravens",2700,BAL,DST,BUF,,,6.6
"Cincinnati Bengals",3000,CIN,DST,NYJ,,,8.54
"Detroit Lions",2500,DET,DST,IND,,,8.23
"Indianapolis Colts",2700,IND,DST,DET,,,8.65
"Los Angeles Rams",3800,LAR,DST,SFO,,,8.97
"San Francisco 49ers",3100,SFO,DST,LAR,,,5.96
"Washington Redskins",2700,WAS,DST,PIT,,,6.9
"Pittsburgh Steelers",2900,PIT,DST,WAS,,,8.58
"New England Patriots",2900,NEP,DST,ARI,,,7.08
"Arizona Cardinals",3500,ARI,DST,NEP,,,10.53
"Buffalo Bills",2900,BUF,DST,BAL,,,8.48
"Atlanta Falcons",2800,ATL,DST,TBB,,,6.82
"Cleveland Browns",2300,CLE,DST,PHI,,,7.66
"Philadelphia Eagles",3300,PHI,DST,CLE,,,8.64
"Green Bay Packers",2800,GBP,DST,JAC,,,9.08
"Tennessee Titans",2600,TEN,DST,MIN,,,6.78
"Minnesota Vikings",3100,MIN,DST,TEN,,,8.85
"Carolina Panthers",3800,CAR,DST,DEN,,,8.82
"Denver Broncos",3700,DEN,DST,CAR,,,9.24
"Jacksonville Jaguars",2400,JAC,DST,GBP,,,6.5
"San Diego Chargers",2500,SDC,DST,KCC,,,5.45
"New Orleans Saints",2300,NOS,DST,OAK,,,6.82
"Tampa Bay Buccaneers",2600,TBB,DST,ATL,,,7.88
"Oakland Raiders",2400,OAK,DST,NOS,,,5.86
"Houston Texans",3200,HOU,DST,CHI,,,9.41
"Kansas City Chiefs",3600,KCC,DST,SDC,,,10.16
"Chicago Bears",2500,CHI,DST,HOU,,,7.14
