"player","salary","team","pos","opp","ceil","floor","fpts"
"Russell Wilson","6300","SEA","QB","ARI","24.0664","11.8536","17.96"
"Colin Kaepernick","5700","SFO","QB","LAR","23.6532","10.6268","17.14"
"Jared Goff","5000","LAR","QB","SFO","19.32","8.68","14"
"Carson Palmer","5500","ARI","QB","SEA","19.68","12.32","16"
"Derek Carr","6800","OAK","QB","IND","25.9084","13.0516","19.48"
"Cam Newton","6600","CAR","QB","ATL","26.9412","13.8788","20.41"
"Andrew Luck","7000","IND","QB","OAK","26.3736","13.5864","19.98"
"Andy Dalton","5300","CIN","QB","HOU","22.126","11.914","17.02"
"Tom Savage","5000","HOU","QB","CIN","19.9124","9.8076","14.86"
"Matthew Stafford","6100","DET","QB","DAL","24.5494","12.9306","18.74"
"Dak Prescott","5900","DAL","QB","DET","24.759","13.041","18.9"
"Alex Smith","5000","KCC","QB","DEN","17.1879","7.1921","12.19"
"Trevor Siemian","5300","DEN","QB","KCC","20.3016","10.4584","15.38"
"Joe Flacco","5800","BAL","QB","PIT","23.449","12.351","17.9"
"Ben Roethlisberger","6700","PIT","QB","BAL","24.9555","13.1445","19.05"
"Matt Ryan","7200","ATL","QB","CAR","25.8774","14.2426","20.06"
"Drew Brees","7400","NOS","QB","TBB","29.9728","15.7872","22.88"
"Bryce Petty","5000","NYJ","QB","NEP","17.9415","8.6385","13.29"
"Tom Brady","7700","NEP","QB","NYJ","29.4492","15.1708","22.31"
"Philip Rivers","6900","SDC","QB","CLE","24.5874","13.5326","19.06"
"Matt Barkley","5000","CHI","QB","WAS","18.7868","9.2532","14.02"
"Kirk Cousins","6800","WAS","QB","CHI","24.804","13.356","19.08"
"Carson Wentz","5000","PHI","QB","NYG","19.781","10.419","15.1"
"Eli Manning","5800","NYG","QB","PHI","23.5407","12.3993","17.97"
"Robert Griffin III","5100","CLE","QB","SDC","19.7259","8.2541","13.99"
"Matthew Moore","5200","MIA","QB","BUF","20.618","11.102","15.86"
"Aaron Rodgers","6700","GBP","QB","MIN","26.8836","14.7964","20.84"
"Jameis Winston","6500","TBB","QB","NOS","25.6823","12.9377","19.31"
"Sam Bradford","5000","MIN","QB","GBP","21.6281","11.3919","16.51"
"Blake Bortles","5000","JAC","QB","TEN","24.0108","12.3692","18.19"
"Tyrod Taylor","5400","BUF","QB","MIA","23.1287","11.6513","17.39"
"Marcus Mariota","6000","TEN","QB","JAC","25.2824","11.8976","18.59"
"Alex Collins","3000","SEA","RB","ARI","6.156","1.044","3.6"
"Thomas Rawls","5100","SEA","RB","ARI","18.6599","4.5201","11.59"
"Doug Baldwin","6000","SEA","WR","ARI","23.0633","6.3167","14.69"
"Jermaine Kearse","3000","SEA","WR","ARI","7.8126","1.1674","4.49"
"Tanner McEvoy","3000","SEA","WR","ARI","4.182","0.738","2.46"
"Tyler Lockett","4800","SEA","WR","ARI","19.4208","3.6992","11.56"
"Darren Fells","2500","ARI","TE","SEA","3.72","0","1.86"
"Jermaine Gresham","2500","ARI","TE","SEA","11.1112","1.8088","6.46"
"David Johnson","9200","ARI","RB","SEA","33.2866","11.3934","22.34"
"Mychal Rivera","2500","OAK","TE","IND","5.6588","0.9212","3.29"
"Andre Ellington","3500","ARI","RB","SEA","4.9686","0.4914","2.73"
"Larry Fitzgerald","6100","ARI","WR","SEA","21.1752","6.5048","13.84"
"J.J. Nelson","4400","ARI","WR","SEA","18.6706","3.6894","11.18"
"John Brown","3900","ARI","WR","SEA","16.0864","2.1936","9.14"
"Jimmy Graham","4500","SEA","TE","ARI","18.8448","6.1152","12.48"
"Luke Willson","2500","SEA","TE","ARI","3.9694","0.4906","2.23"
"Malcolm Brown","3000","LAR","RB","SFO","5.202","0.918","3.06"
"Todd Gurley","6500","LAR","RB","SFO","25.5596","7.0004","16.28"
"Kenny Britt","5700","LAR","WR","SFO","21.4332","5.5268","13.48"
"Tavon Austin","4000","LAR","WR","SFO","15.929","2.811","9.37"
"Pharoh Cooper","3000","LAR","WR","SFO","8.3","0","4.15"
"Brian Quick","3300","LAR","WR","SFO","14.022","2.378","8.2"
"Garrett Celek","2900","SFO","TE","LAR","14.3208","3.3592","8.84"
"Je'Ron Hamm","2500","SFO","TE","LAR","5.74","0","2.87"
"Carlos Hyde","5800","SFO","RB","LAR","19.4166","8.7234","14.07"
"Kerwynn Williams","3000","ARI","RB","SEA","2.68","0","1.34"
"Shaun Draughn","3000","SFO","RB","LAR","6.953","1.227","4.09"
"Chris Harper","3000","SFO","WR","LAR","7.18","0","3.59"
"Rod Streater","3000","SFO","WR","LAR","4.752","0.528","2.64"
"Jeremy Kerley","3500","SFO","WR","LAR","15.8316","4.2084","10.02"
"Clive Walford","2500","OAK","TE","IND","11.431","2.769","7.1"
"Andre Holmes","3000","OAK","WR","IND","6.0372","0.9828","3.51"
"Kelvin Benjamin","5500","CAR","WR","ATL","19.4304","2.6496","11.04"
"Fozzy Whittaker","3000","CAR","RB","ATL","7.8854","0.9746","4.43"
"Ted Ginn","4500","CAR","WR","ATL","18.4266","2.7534","10.59"
"Devin Funchess","3400","CAR","WR","ATL","10.9564","1.0836","6.02"
"Greg Olsen","5200","CAR","TE","ATL","23.2256","7.3344","15.28"
"Philly Brown","3000","CAR","WR","ATL","10.08","1.44","5.76"
"Jonathan Stewart","5200","CAR","RB","ATL","19.7349","5.4051","12.57"
"Levine Toilolo","2500","ATL","TE","CAR","9.792","1.088","5.44"
"Tevin Coleman","5000","ATL","RB","CAR","16.1868","3.5532","9.87"
"Devonta Freeman","7100","ATL","RB","CAR","24.0681","6.5919","15.33"
"Julio Jones","8100","ATL","WR","CAR","31.6298","6.2502","18.94"
"Mohamed Sanu","5100","ATL","WR","CAR","17.427","4.773","11.1"
"Aldrick Robinson","4100","ATL","WR","CAR","9.3625","1.3375","5.35"
"Justin Hardy","3100","ATL","WR","CAR","7.684","1.356","4.52"
"Ed Dickson","2500","CAR","TE","ATL","4.8958","0.4842","2.69"
"Taylor Gabriel","6200","ATL","WR","CAR","18.7652","3.0548","10.91"
"Latavius Murray","6200","OAK","RB","IND","23.3895","6.7905","15.09"
"Dwayne Allen","2600","IND","TE","OAK","11.5188","1.7212","6.62"
"Jalen Richard","3600","OAK","RB","IND","8.858","1.442","5.15"
"Amari Cooper","6500","OAK","WR","IND","27.2544","5.3856","16.32"
"Seth Roberts","3000","OAK","WR","IND","13.1215","2.9785","8.05"
"Michael Crabtree","6100","OAK","WR","IND","23.7636","5.7564","14.76"
"Jack Doyle","2800","IND","TE","OAK","11.946","2.534","7.24"
"Erik Swoope","2700","IND","TE","OAK","8.4452","1.3748","4.91"
"Frank Gore","4800","IND","RB","OAK","20.0046","5.9754","12.99"
"Mike Tolbert","3000","CAR","RB","ATL","3.24","0","1.62"
"Robert Turbin","3600","IND","RB","OAK","8.5176","0.8424","4.68"
"T.Y. Hilton","7800","IND","WR","OAK","30.6075","7.8925","19.25"
"Phillip Dorsett","3900","IND","WR","OAK","11.6276","2.5524","7.09"
"Donte Moncrief","5400","IND","WR","OAK","17.4004","3.8196","10.61"
"Lance Kendricks","2900","LAR","TE","SFO","11.34","2.66","7"
"Tyler Higbee","2500","LAR","TE","SFO","3.12","0","1.56"
"Travis Kelce","5000","KCC","TE","DEN","20.2687","5.5513","12.91"
"Tyreek Hill","5900","KCC","WR","DEN","16.6635","4.0365","10.35"
"Demetrius Harris","2500","KCC","TE","DEN","3.08","0","1.54"
"Cody Latimer","3000","DEN","WR","KCC","3.78","0","1.89"
"De'Anthony Thomas","3000","KCC","WR","DEN","5.64","0","2.82"
"Jeff Heuerman","2500","DEN","TE","KCC","12.54","0","6.27"
"Albert Wilson","3000","KCC","WR","DEN","8.052","0.748","4.4"
"Chris Conley","3000","KCC","WR","DEN","5.904","0.656","3.28"
"Bennie Fowler","3000","DEN","WR","KCC","4.8504","0.7896","2.82"
"Emmanuel Sanders","6000","DEN","WR","KCC","21.942","5.658","13.8"
"Jordan Norwood","3000","DEN","WR","KCC","4.104","0.456","2.28"
"Spencer Ware","5300","KCC","RB","DEN","23.0482","5.2318","14.14"
"Jeremy Maclin","4400","KCC","WR","DEN","15.1753","3.4447","9.31"
"Charcandrick West","4100","KCC","RB","DEN","8.262","1.458","4.86"
"Zach Zenner","3200","DET","RB","DAL","10.492","1.708","6.1"
"Marvin Jones","4200","DET","WR","DAL","16.694","2.946","9.82"
"Cole Beasley","4900","DAL","WR","DET","18.2248","5.7552","11.99"
"Terrance Williams","3200","DAL","WR","DET","12.1626","1.8174","6.99"
"Brice Butler","3000","DAL","WR","DET","5.1324","0.5076","2.82"
"Jason Witten","3400","DAL","TE","DET","15.6738","5.0862","10.38"
"Lance Dunbar","3000","DAL","RB","DET","5.94","0","2.97"
"Gavin Escobar","2500","DAL","TE","DET","5","0","2.5"
"Dez Bryant","6500","DAL","WR","DET","28.1267","6.8133","17.47"
"Darren McFadden","3500","DAL","RB","DET","5.933","1.047","3.49"
"Anquan Boldin","4100","DET","WR","DAL","16.929","3.591","10.26"
"Golden Tate","6600","DET","WR","DAL","24.4244","7.2956","15.86"
"Andre Roberts","3000","DET","WR","DAL","6.444","0.716","3.58"
"Eric Ebron","3600","DET","TE","DAL","15.4652","3.3948","9.43"
"Ezekiel Elliott","7900","DAL","RB","DET","29.944","9.456","19.7"
"Dwayne Washington","3400","DET","RB","DAL","16.5074","1.6326","9.07"
"Demaryius Thomas","6400","DEN","WR","KCC","24.0534","5.8266","14.94"
"Justin Forsett","3600","DEN","RB","KCC","15.4605","3.2795","9.37"
"Keith Mumphery","3000","HOU","WR","CIN","7.0818","1.0582","4.07"
"Will Fuller","3900","HOU","WR","CIN","16.968","3.232","10.1"
"Stephen Anderson","2500","HOU","TE","CIN","4.0248","0.6552","2.34"
"C.J. Fiedorowicz","3700","HOU","TE","CIN","15.3734","4.0866","9.73"
"Jonathan Grimes","3000","HOU","RB","CIN","11.97","1.33","6.65"
"Ryan Griffin","3300","HOU","TE","CIN","11.12","2.78","6.95"
"DeAndre Hopkins","5200","HOU","WR","CIN","24.7005","5.2395","14.97"
"Alfred Blue","4300","HOU","RB","CIN","17.266","2.134","9.7"
"Jeremy Hill","5300","CIN","RB","HOU","21.141","4.959","13.05"
"Aaron Burbridge","3000","SFO","WR","LAR","","","2.62"
"Rex Burkhead","3500","CIN","RB","HOU","9.6855","2.0545","5.87"
"Brandon LaFell","4800","CIN","WR","HOU","20.1358","4.1242","12.13"
"Cody Core","3000","CIN","WR","HOU","7.6986","0.7614","4.23"
"Tyler Boyd","4100","CIN","WR","HOU","16.3956","4.6244","10.51"
"C.J. Uzomah","2500","CIN","TE","HOU","","","5.73"
"Terrance West","4400","BAL","RB","PIT","15.216","3.804","9.51"
"Antonio Brown","8200","PIT","WR","BAL","32.3912","10.2288","21.31"
"DeAngelo Williams","5500","PIT","RB","BAL","4.7827","0.8773","2.83"
"Eli Rogers","3800","PIT","WR","BAL","15.4642","3.0558","9.26"
"Cobi Hamilton","3000","PIT","WR","BAL","8.2161","0.9639","4.59"
"Devontae Booker","3700","DEN","RB","KCC","11.1054","2.2746","6.69"
"Jesse James","2500","PIT","TE","BAL","13.379","2.361","7.87"
"Le'Veon Bell","9400","PIT","RB","BAL","33.4778","12.3822","22.93"
"Darren Waller","2500","BAL","TE","PIT","6.2124","1.2276","3.72"
"Mike Wallace","4800","BAL","WR","PIT","20.618","3.782","12.2"
"Kenneth Dixon","4200","BAL","RB","PIT","15.8964","4.4836","10.19"
"Steve Smith","5100","BAL","WR","PIT","21.136","5.284","13.21"
"Kamar Aiken","3000","BAL","WR","PIT","7.2584","1.1816","4.22"
"Dennis Pitta","3000","BAL","TE","PIT","12.8388","3.6212","8.23"
"Breshad Perriman","3000","BAL","WR","PIT","10.8188","1.7612","6.29"
"John Phillips","2500","NOS","TE","TBB","3.96","0","1.98"
"John Kuhn","3000","NOS","RB","TBB","4.96","0","2.48"
"Michael Floyd","3600","NEP","WR","NYJ","8.06","0","4.03"
"Julian Edelman","6900","NEP","WR","NYJ","23.828","8.372","16.1"
"Chris Hogan","4200","NEP","WR","NYJ","17.6643","2.9957","10.33"
"Malcolm Mitchell","5200","NEP","WR","NYJ","19.5652","4.2948","11.93"
"Martellus Bennett","4100","NEP","TE","NYJ","16.335","3.465","9.9"
"Dion Lewis","4100","NEP","RB","NYJ","17.6715","3.7485","10.71"
"James White","3800","NEP","RB","NYJ","12.2976","2.3424","7.32"
"LeGarrette Blount","5600","NEP","RB","NYJ","17.424","4.356","10.89"
"Quincy Enunwa","4000","NYJ","WR","NEP","15.345","3.255","9.3"
"Brandon Marshall","5300","NYJ","WR","NEP","19.1716","3.7884","11.48"
"Charone Peake","3000","NYJ","WR","NEP","4.0131","2.8469","3.43"
"Robby Anderson","4800","NYJ","WR","NEP","17.43","3.57","10.5"
"Brandon Bostick","2500","NYJ","TE","NEP","2.92","0","1.46"
"Austin Seferian-Jenkins","2500","NYJ","TE","NEP","5.4112","0.6688","3.04"
"Khiry Robinson","3000","NYJ","RB","NEP","3.22","0","1.61"
"Kenneth Farrow","5000","SDC","RB","CLE","22.873","2.827","12.85"
"Andrew Hawkins","3000","CLE","WR","SDC","7.7244","2.1156","4.92"
"Terrelle Pryor","4900","CLE","WR","SDC","18.955","3.345","11.15"
"Ricardo Louis","3000","CLE","WR","SDC","3.64","0","1.82"
"Corey Coleman","3900","CLE","WR","SDC","13.1262","2.5938","7.86"
"Seth DeValve","2500","CLE","TE","SDC","4.5645","0.5355","2.55"
"Gary Barnidge","2800","CLE","TE","SDC","11.7747","4.2453","8.01"
"Duke Johnson","3500","CLE","RB","SDC","13.452","4.248","8.85"
"Isaiah Crowell","4100","CLE","RB","SDC","17.2454","3.9146","10.58"
"Dontrelle Inman","6000","SDC","WR","CLE","18.8015","5.4585","12.13"
"Travis Benjamin","4800","SDC","WR","CLE","13.8288","2.2512","8.04"
"Tyrell Williams","5800","SDC","WR","CLE","21.5634","4.4166","12.99"
"Ronnie Hillman","3400","SDC","RB","CLE","14.34","0","7.17"
"Hunter Henry","3500","SDC","TE","CLE","14.823","3.477","9.15"
"Antonio Gates","4400","SDC","TE","CLE","19.968","5.632","12.8"
"Bilal Powell","6000","NYJ","RB","NEP","22.9425","5.5575","14.25"
"Daniel Brown","2500","CHI","TE","WAS","7.3616","1.1984","4.28"
"Odell Beckham","8600","NYG","WR","PHI","32.9386","9.0214","20.98"
"Paul Perkins","3200","NYG","RB","PHI","14.1332","1.7468","7.94"
"Sterling Shepard","4600","NYG","WR","PHI","17.577","5.103","11.34"
"Victor Cruz","3300","NYG","WR","PHI","12.0848","1.1952","6.64"
