Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Madison Bumgarner,16,SP,12500,SF,@SD,49%,4.32,7.5,0.293,23.8%,2.50,27.2%,3.19,3.28,L,0.229,0.284,1%,1%,0%,28.1,28.1,28.1,28.1,28.1,24.2,1.9,21.1,1.7
Yu Darvish,12,SP,10500,TEX,OAK,57%,4.31,6.5,0.321,19.6%,3.75,31.7%,3.08,3.19,R,0.297,0.278,-2%,1%,0%,8.1,8.1,8.1,8.1,8.1,19.6,1.9,17.3,1.6
Chris Archer,3,SP,10200,TB,TOR,48%,4.11,6.5,0.343,19.5%,2.67,28.2%,3.29,3.20,R,0.295,0.297,1%,0%,0%,20.9,20.9,20.9,20.9,20.9,18.6,1.8,24.4,2.4
Clayton Kershaw,7,SP,10000,LAD,@COL,57%,5.67,8.5,0.298,21.5%,4.00,33.0%,2.30,2.17,L,0.207,0.231,-9%,1%,0%,32.5,32.5,32.5,32.5,32.5,24.2,2.4,12.7,1.3
Danny Duffy,1,SP,9700,KC,@HOU,41%,4.69,6,0.336,18.9%,3.00,22.0%,3.99,4.16,L,0.222,0.323,5%,0%,-3%,23.9,23.9,23.9,23.9,23.9,14.6,1.5,15.2,1.6
Aaron Sanchez,2,SP,9500,TOR,@TB,52%,3.89,5.5,0.324,23.5%,3.25,19.0%,4.14,3.92,R,0.314,0.231,5%,0%,0%,0.0,0.0,0.0,0.0,0.0,18.1,1.9,21.6,2.3
Felix Hernandez,,SP,9400,SEA,@LAA,45%,4.48,5,0.319,18.4%,3.75,21.1%,3.92,3.81,R,0.283,0.287,2%,3%,0%,16.3,16.3,16.3,16.3,16.3,15.8,1.7,13.5,1.4
Dallas Keuchel,8,SP,9200,HOU,KC,59%,3.81,5,0.323,16.4%,1.67,22.3%,3.24,3.08,L,0.262,0.297,1%,0%,-3%,24.8,24.8,24.8,24.8,24.8,14.7,1.6,19.9,2.2
Kyle Hendricks,10,SP,9000,CHC,@MIL,63%,3.87,6,0.288,26.7%,4.25,22.7%,3.54,3.43,R,0.298,0.256,-1%,2%,1%,0.0,0.0,0.0,0.0,0.0,20.4,2.3,17.9,2.0
Zack Greinke,,SP,8100,ARI,CLE,44%,5.34,4.5,0.322,21.2%,7.00,22.1%,3.64,3.54,R,0.287,0.273,-3%,0%,0%,11.7,11.7,11.7,11.7,11.7,15.8,2.0,26.0,3.2
Masahiro Tanaka,3,SP,7800,NYY,@BAL,50%,4.23,5.5,0.338,21.1%,3.00,21.5%,3.60,3.47,R,0.284,0.284,0%,3%,0%,-8.8,-8.8,-8.8,-8.8,-8.8,16.6,2.1,8.1,1.0
Aaron Nola,1,SP,7700,PHI,WAS,38%,3.95,,0.327,20.3%,4.33,23.6%,3.44,3.29,R,0.324,0.292,1%,4%,0%,0.0,0.0,0.0,0.0,0.0,16.8,2.2,20.1,2.6
Ricky Nolasco,1,SP,7600,LAA,SEA,55%,4.02,4,0.324,19.3%,2.00,18.1%,4.34,4.35,R,0.337,0.346,3%,4%,0%,8.6,8.6,8.6,8.6,8.6,13.8,1.8,12.5,1.6
Kevin Gausman,4,SP,7500,BAL,NYY,50%,4.27,5,0.319,19.1%,3.00,22.6%,3.76,3.78,R,0.298,0.338,0%,3%,0%,9.8,9.8,9.8,9.8,9.8,16.0,2.1,3.9,0.5
Eduardo Rodriguez,0,SP,7400,BOS,@DET,45%,4.48,4.5,0.354,18.1%,4.00,20.2%,4.29,4.37,L,0.336,0.302,5%,4%,0%,0.0,0.0,0.0,0.0,0.0,12.9,1.7,8.4,1.1
Michael Wacha,3,SP,7100,STL,CIN,61%,3.51,4.5,0.294,24.4%,4.00,19.5%,4.15,3.95,R,0.275,0.327,1%,1%,0%,0.0,0.0,0.0,0.0,0.0,16.7,2.4,25.1,3.5
Trevor Bauer,2,SP,7000,CLE,@ARI,56%,4.66,7,0.302,25.9%,6.75,21.7%,4.24,4.20,R,0.315,0.321,-3%,0%,0%,0.0,0.0,0.0,0.0,0.0,17.4,2.5,14.6,2.1
Robert Gsellman,4,SP,6900,NYM,MIA,48%,3.84,,0.297,22.2%,3.33,22.7%,3.76,3.38,R,,,3%,4%,0%,0.0,0.0,0.0,0.0,0.0,14.8,2.1,14.4,2.1
Jordan Zimmermann,0,SP,6900,DET,BOS,55%,4.02,3.5,0.315,18.1%,4.00,18.0%,4.16,4.17,R,0.311,0.292,0%,4%,0%,0.0,0.0,0.0,0.0,0.0,12.2,1.8,17.9,2.6
Adam Conley,2,SP,6800,MIA,@NYM,52%,3.66,,0.293,24.5%,4.33,21.2%,4.42,4.63,L,0.336,0.313,2%,3%,0%,0.0,0.0,0.0,0.0,0.0,16.5,2.4,22.9,3.4
Miguel Gonzalez,,SP,6700,CWS,MIN,52%,4.16,,0.322,25.2%,7.00,17.2%,4.55,4.56,R,0.324,0.319,1%,2%,0%,0.0,0.0,0.0,0.0,0.0,14.6,2.2,20.1,3.0
Jon Gray,1,SP,6500,COL,LAD,42%,6.83,6.5,0.333,22.0%,6.75,25.1%,3.75,3.65,R,0.305,0.331,-9%,3%,0%,8.2,8.2,8.2,8.2,8.2,14.7,2.3,7.8,1.2
R.A. Dickey,0,SP,6300,ATL,@PIT,43%,4.30,,0.314,20.0%,1.50,15.6%,4.78,4.73,R,0.316,0.328,1%,5%,0%,0.0,0.0,0.0,0.0,0.0,13.8,2.2,7.0,1.1
Adalberto Mejia,,SP,6100,MIN,@CWS,48%,4.34,,0.330,22.4%,7.00,,,,L,,,4%,2%,0%,0.0,0.0,0.0,0.0,0.0,13.9,2.3,-3.3,-0.5
Jeremy Guthrie,,SP,5900,WAS,@PHI,62%,3.05,,0.292,23.2%,2.67,12.7%,5.02,5.11,R,0.386,0.300,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,12.0,2.0,-24.5,-4.2
Chad Kuhl,,SP,5700,PIT,ATL,56%,3.70,,0.302,18.1%,1.67,17.6%,4.50,4.53,R,0.363,0.295,1%,6%,0%,0.0,0.0,0.0,0.0,0.0,12.2,2.1,14.7,2.6
Jhoulys Chacin,,SP,5500,SD,SF,51%,4.18,,0.319,18.3%,5.50,18.8%,4.37,4.20,R,0.328,0.318,2%,2%,0%,-13.9,-13.9,-13.9,-13.9,-13.9,12.5,2.3,26.6,4.8
Tommy Milone,1,SP,5200,MIL,CHC,37%,5.13,,0.310,30.1%,3.67,16.4%,4.48,4.29,L,0.316,0.341,0%,3%,1%,0.0,0.0,0.0,0.0,0.0,18.6,3.6,-1.0,-0.2
Bronson Arroyo,1,SP,5000,CIN,@STL,39%,4.49,,0.321,21.5%,3.00,,,,R,0.342,0.378,4%,2%,0%,0.0,0.0,0.0,0.0,0.0,10.2,2.0,-2.4,-0.5
Kendall Graveman,1,SP,4900,OAK,@TEX,42%,5.19,,0.332,22.7%,4.67,14.4%,4.52,4.35,R,0.324,0.319,-12%,3%,0%,22.7,22.7,22.7,22.7,22.7,10.5,2.1,26.0,5.3
